sampid,famid,ssex,Plate,Tray,area_wk3,perim_wk3,circ_wk3,Days_gam,Total_gam
P_21_5_7,27,m,30C,Tray 3,0.46689173,3.943566288,0.377074818,22,0
P_21_5_5,27,m,25A,Tray 8,0.663876099,3.701688303,0.608522975,22,11
P_21_5_5,27,m,25B,Tray 8,0.616189766,3.386964418,0.674656723,22,4
P_21_5_5,27,m,25C,Tray 8,0.580818632,3.355283514,0.647995117,22,15
P_21_5_3,27,m,26C,Tray 8,0.303278744,2.86419587,0.464329402,22,1
P_22_1_5,28,f,15B,Tray 1,0.443917232,3.350440573,0.496692732,22,1
P_22_1_8,28,f,23A,Tray 11,0.318249719,3.905495392,0.262062819,7,18
P_22_1_10,28,f,13A,Tray 12,0.588980506,3.873209121,0.493115516,22,3
P_22_1_2,28,f,14C,Tray 12,0.771640878,3.885585525,0.641936279,22,0
P_22_1_8,28,f,22A,Tray 12,0.764990128,5.400147979,0.329483862,22,13
P_22_1_16,28,f,26A,Tray 12,0.640928748,5.317952512,0.284649537,22,15
P_22_1_8,28,f,23B,Tray 14,0.5040183,3.987892648,0.398060447,7,18
P_22_1_8,28,f,23C,Tray 15,0.821521506,4.539517051,0.500713468,22,11
P_22_1_10,28,f,13B,Tray 2,0.440714014,3.410237439,0.475967461,22,4
P_22_1_2,28,f,14B,Tray 2,0.824444217,4.494719849,0.51256112,22,0
P_22_1_5,28,f,15A,Tray 2,0.487477386,3.953790274,0.391666886,22,0
P_22_1_8,28,f,22B,Tray 2,0.63872088,4.436335508,0.407616717,22,13
P_22_1_16,28,f,26B,Tray 2,0.738984336,4.73343647,0.414258823,22,3
P_22_1_5,28,f,15C,Tray 3,0.56054063,4.292325284,0.382130307,22,0
P_22_1_2,28,f,20A,Tray 4,0.377581652,4.092688505,0.283128207,22,3
P_22_1_2,28,f,20B,Tray 4,0.533937628,7.021860496,0.136011545,22,1
P_22_1_2,28,f,20C,Tray 4,0.53199217,5.63799018,0.210206553,22,15
P_22_1_5,28,f,17A,Tray 7,0.960142148,5.070558956,0.469043909,22,1
P_22_1_5,28,f,17B,Tray 7,0.808871507,4.376538643,0.53040504,22,2
P_22_1_5,28,f,17C,Tray 7,0.324117762,2.821483823,0.511372468,22,1
P_22_1_10,28,f,13C,Tray 8,0.493974309,3.549673774,0.49239895,22,10
P_22_1_2,28,f,14A,Tray 8,0.788598029,4.276922042,0.541480297,22,0
P_22_1_8,28,f,22C,Tray 8,0.626631897,4.683998117,0.358730839,22,12
P_22_1_16,28,f,26C,Tray 8,0.692067137,4.941481133,0.355978348,22,2
P_22_1_3,28,m,14C,Tray 12,0.946442507,4.580009417,0.566697288,22,12
P_22_1_3,28,m,14B,Tray 2,0.774341897,3.739288357,0.695575831,22,3
P_22_1_9,28,m,16A,Tray 4,0.56709637,4.170175557,0.40957914,22,19
P_22_1_9,28,m,16B,Tray 4,1.093084767,7.675186655,0.233058845,7,14
P_22_1_9,28,m,16C,Tray 4,0.725180636,5.772381785,0.273354195,22,15
P_22_1_3,28,m,14A,Tray 8,0.845559219,4.19021995,0.60486719,22,1
P_22_1_11,28,m,25A,Tray 8,0.465385131,5.337257012,0.205194592,22,19
P_22_1_11,28,m,25B,Tray 8,0.487871002,4.954395641,0.249639483,13,18
P_22_1_11,28,m,25C,Tray 8,0.428855771,5.428331203,0.182796646,22,17
P_22_10_2,29,f,19A,Tray 1,0.738749071,4.896280352,0.387038381,22,1
P_22_10_2,29,f,14C,Tray 12,0.771622781,4.529293065,0.472426048,22,0
P_22_10_2,29,f,14B,Tray 2,0.7114448,3.752539181,0.634571229,22,0
P_22_10_2,29,f,19B,Tray 2,0.673191674,4.743458667,0.37578387,22,1
P_22_10_8,29,f,18A,Tray 4,0.848997702,5.812134257,0.315663871,22,3
P_22_10_8,29,f,18B,Tray 4,0.745883924,6.977197821,0.192441535,22,0
P_22_10_8,29,f,18C,Tray 7,0.65279604,5.881818793,0.236997557,22,1
P_22_10_2,29,f,19C,Tray 7,0.68542996,5.22465864,0.315381985,22,0
P_22_10_6,29,f,27A,Tray 7,0.863516245,7.317548934,0.20254843,22,1
P_22_10_6,29,f,27B,Tray 7,0.434664998,4.789668393,0.23797614,22,0
P_22_10_6,29,f,27C,Tray 7,0.483283341,4.264747427,0.333737365,22,0
P_22_10_2,29,f,14A,Tray 8,0.583777537,3.668191296,0.544920401,22,0
P_22_10_16,29,f,25A,Tray 8,0.735324161,6.50043721,0.21856637,22,3
P_22_10_16,29,f,25B,Tray 8,0.610556988,5.049438353,0.300766662,22,2
P_22_10_16,29,f,25C,Tray 8,0.586713821,5.090737876,0.284350821,22,5
P_22_10_1,29,m,7A,Tray 10,0.562192007,3.791080917,0.491301621,22,11
P_22_10_10,29,m,23A,Tray 11,0.418164803,3.521019708,0.423643164,7,2
P_22_10_10,29,m,29A,Tray 11,0.16883405,2.583305307,0.317759254,22,0
P_22_10_9,29,m,26A,Tray 12,0.711019514,4.354409094,0.470991102,22,0
P_22_10_10,29,m,23B,Tray 14,0.470538332,3.162978409,0.590734307,22,1
P_22_10_10,29,m,29B,Tray 14,0.184877289,2.427927625,0.393914286,22,0
P_22_10_10,29,m,23C,Tray 15,0.880419104,4.825116029,0.474967151,22,0
P_22_10_10,29,m,29C,Tray 15,0.653981411,4.275509518,0.449344353,22,0
P_22_10_9,29,m,26B,Tray 2,0.785372189,4.910607385,0.40906727,22,1
P_22_10_1,29,m,7C,Tray 2,0.647167785,3.504203942,0.661953957,22,9
P_22_10_9,29,m,26C,Tray 8,0.755430239,4.931593462,0.390130108,22,0
P_22_11_11,30,f,15B,Tray 1,1.160994811,5.358848456,0.507781608,22,10
