"","famid","sampid","Date.PTR","ssex","Total.conc","Total.masses","Avg.conc.raw","Total.conc.stand.mean","Avg.conc.divmean","low.end.sum.Total.conc","high.end.sum.Total.conc","low.end.Total.masses","high.end.Total.masses","high.avg.conc","low.avg.conc","data$Leaf_Length_Average","data$repro"
"480",35,"P_4_11_15","23-May","m",0.00092964078963939,38,2.44642313062997e-05,88801.9541562791,2336.8935304284,2.5902e-05,0.00090373878963939,3,35,2.58211082754111e-05,8.634e-06,1.187414916,0
"481",35,"P_4_11_19","28-May","f",0.0018828262873964,67,2.81018848865134e-05,353.969289836353,5.28312372890079,1.83e-09,0.0018828244573964,1,66,2.85276432938848e-05,1.83e-09,1.52801275,6
"482",35,"P_4_11_2","29-May","m",0.0001088883,38,2.86548157894737e-06,121.652880484169,3.20139159168866,3.292725e-05,7.596105e-05,14,24,3.16504375e-06,2.35194642857143e-06,1.365400708,0
"483",35,"P_4_11_2","27-May","m",0.002424211485,63,3.84795473809524e-05,22573.0399808668,358.30222191852,2.6422e-06,0.002421569285,6,57,4.24836716666667e-05,4.40366666666667e-07,2.351758107,0
"484",35,"P_4_11_26","22-May","f",0.00044358216,43,1.03158641860465e-05,13667.7052859351,317.853611300817,2.59241e-06,0.00044098975,6,37,1.19186418918919e-05,4.32068333333333e-07,2.641672182,2.333333333
"486",35,"P_4_11_28","29-May","m",3.75694e-05,24,1.56539166666667e-06,429.808590147184,17.9086912561327,6.28906e-06,3.128034e-05,18,6,5.21339e-06,3.49392222222222e-07,1.757515162,1
"487",35,"P_4_11_28","23-May","m",6.918803505749e-05,20,3.4594017528745e-06,4.9649418678121,0.248247093390605,9.51057e-06,5.967746505749e-05,13,7,8.52535215107e-06,7.31582307692308e-07,1.806666467,1.5
"488",36,"P_6_1_10","23-May","f",0.00044572354,36,1.23812094444444e-05,47.2670433211969,1.3129734255888,5.63074e-06,0.0004400928,6,30,1.466976e-05,9.38456666666667e-07,1.729047588,18.33333333
"489",36,"P_6_1_11","27-May","f",0.0014904677,63,2.36582174603175e-05,130244.049013335,2067.36585735452,0,0.0014904677,0,63,2.36582174603175e-05,0,2.171971417,4.33
"490",36,"P_6_1_11","28-May","f",0.0001757194,52,3.37921923076923e-06,1387.07514400711,26.6745220001367,4.26957e-05,0.0001330237,7,45,2.95608222222222e-06,6.09938571428571e-06,1.860567375,5.67
